rule_idx	rule	rule_regex	hits	scope	confidence
25376	∅ -> ɪ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> ɪ d / (o|e) (t) __ (⋉)	587.0	587.0	0.9989984143583344
18546	∅ -> d / X [+C/V, -syllabic, -spread.gl] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, -low, -front, -back, -tense] __ [-begin/end]	∅ -> d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|w|j|ɹ) (ə) __ (⋉)	343.0	343.0	0.998287829118091
14233	∅ -> d / X [+C/V, -syllabic, -spread.gl, -round, -lateral] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ŋ|n|m|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|j|ɹ) (l) __ (⋉)	315.0	315.0	0.9981360809083294
15070	∅ -> d / X [+C/V, -syllabic, +consonantal, -spread.gl, -round] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, -high, +low, -front, -back] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, +DORSAL, +high, -low, +front, -back, -tense] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð) (a) (ɪ) (z) __ (⋉)	218.0	218.0	0.9973102191816628
11833	∅ -> d / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +distributed, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ʒ|ð) __ (⋉)	149.0	149.0	0.9960722812678434
7987	∅ -> d / X [+C/V, -syllabic, -nasal, -spread.gl, -round, -lateral] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|j|ɹ) (n) __ (⋉)	129.0	129.0	0.9954676551027588
4838	∅ -> t / X [+sonorant, +voice, -spread.gl, -labiodental] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, +strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|i|ɪ|ŋ|n|m|l|w|j|ɹ) (ʃ) __ (⋉)	125.0	125.0	0.9953236820860686
3413	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -lateral, -DORSAL] __ [-begin/end]	∅ -> t / (s|θ) __ (⋉)	327.0	328.0	0.9949729324634736
4311	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -high] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -DORSAL] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (p) __ (⋉)	106.0	106.0	0.9944927010310411
5782	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, +DORSAL, -front] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -DORSAL] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ) (p) __ (⋉)	104.0	104.0	0.9943877217770016
